ID,Name,Pos
9676,Miltenberg,323
9677,Main-Spessart,324
9678,Schweinfurt,325
9679,W�rzburg,326
9761,Augsburg,327
9762,Kaufbeuren,328
9763,Kempten (Allg�u),329
9764,Memmingen,330
9771,Aichach-Friedberg,331
9772,Augsburg,332
9773,Dillingen a.d.Donau,333
9774,G�nzburg,334
9775,Neu-Ulm,335
9776,Lindau (Bodensee),336
9777,Ostallg�u,337
9778,Unterallg�u,338
9779,Donau-Ries,339
9780,Oberallg�u,340
10041,Saarbr�cken,341
10041100,Saarbr�cken,342
10042,Merzig-Wadern,343
10043,Neunkirchen,344
10044,Saarlouis,345
10045,Saarpfalz-Kreis,346
10046,St. Wendel,347
11,Berlin,348
11001001,Berlin-Mitte,349
11002002,Berlin-Friedrichshain-Kreuzberg,350
11003003,Berlin-Pankow,351
11004004,Berlin-Charlottenburg-Wilmersdorf,352
11005005,Berlin-Spandau,353
11006006,Berlin-Steglitz-Zehlendorf,354
11007007,Berlin-Tempelhof-Sch�neberg,355
11008008,Berlin-Neuk�lln,356
11009009,Berlin-Treptow-K�penick,357
11010010,Berlin-Marzahn-Hellersdorf,358
11011011,Berlin-Lichtenberg,359
11012012,Berlin-Reinickendorf,360
12051,Brandenburg an der Havel,361
12052,Cottbus,362
12053,Frankfurt (Oder),363
12054,Potsdam,364
12060,Barnim,365
12061,Dahme-Spreewald,366
12062,Elbe-Elster,367
12063,Havelland,368
12064,M�rkisch-Oderland,369
12065,Oberhavel,370
12066,Oberspreewald-Lausitz,371
12067,Oder-Spree,372
12068,Ostprignitz-Ruppin,373
12069,Potsdam-Mittelmark,374
12070,Prignitz,375
12071,Spree-Nei�e,376
12072,Teltow-Fl�ming,377
12073,Uckermark,378
13001,Kreisfreie Stadt Greifswald,379
13002,Kreisfreie Stadt Neubrandenburg,380
13003,Kreisfreie Stadt Rostock,381
13004,Kreisfreie Stadt Schwerin,382
13005,Kreisfreie Stadt Stralsund,383
13006,Kreisfreie Stadt Wismar,384
13051,Landkreis Bad Doberan,385
13052,Landkreis Demmin,386
13053,Landkreis G�strow,387
13054,Landkreis Ludwigslust,388
13055,Landkreis Mecklenburg-Strelitz,389
13056,Landkreis M�ritz,390
13057,Landkreis Nordvorpommern,391
13058,Landkreis Nordwestmecklenburg,392
13059,Landkreis Ostvorpommern,393
13060,Landkreis Parchim,394
13061,Landkreis R�gen,395
13062,Landkreis Uecker-Randow,396
13071,Landkreis Mecklenburgische Seenplatte,397
13072,Landkreis Rostock,398
13073,Landkreis Vorpommern-R�gen,399
13074,Landkreis Nordwestmecklenburg,400
13075,Landkreis Vorpommern-Greifswald,401
13076,Landkreis Ludwigslust-Parchim,402
14161,Chemnitz,403
14166,Plauen,404
14167,Zwickau,405
14171,Annaberg,406
14173,Chemnitzer Land,407
14177,Freiberg,408
14178,Vogtlandkreis,409
14181,Mittlerer Erzgebirgskreis,410
14182,Mittweida,411
14188,Stollberg,412
14191,Aue-Schwarzenberg,413
14193,Zwickauer Land,414
14262,Dresden,415
14263,G�rlitz,416
14264,Hoyerswerda,417
14272,Bautzen,418
14280,Mei�en,419
14284,Niederschlesischer Oberlausitzkreis,420
14285,Riesa-Gro�enhain,421
14286,L�bau-Zittau,422
14287,S�chsische Schweiz,423
14290,Wei�eritzkreis,424
14292,Kamenz,425
14365,Leipzig,426
14374,Delitzsch,427
14375,D�beln,428
14379,Leipziger Land,429
14383,Muldentalkreis,430
